,article_title,text,relevant,relevant_kristen,mismatch,predicted0,predicted
159,"HAVE you bought an annuity in recent years? You may soon have the chance to back out of this once-irreversible purchase by jumping into the secondary annuities market. But exercise this freedom with caution; experts say many retirees could regret taking the pensions parachute.
An annuity allows people to get hold of their hard-earned retirement savings in a responsible way.","HAVE you bought an annuity in recent years? You may soon have the chance to back out of this once-irreversible purchase by jumping into the secondary annuities market. But exercise this freedom with caution; experts say many retirees could regret taking the pensions parachute.
An annuity allows people to get hold of their hard-earned retirement savings in a responsible way. It converts your pension pot into a carefully calculated annual income that should comfortably last the rest of your life However this product available direct from pension providers or online brokers has often been accused of offering poor value for money particularly when bought without financial advice or by people in poor health Critics say it is all too easy to be lulled into uncompetitive rates if you fail to shop around depriving you of income that is particularly precious if do not have long to live Retirees have previously had no ability to trade in annuities or substitute them for a different product That is all changing following George Osborne s pensions revolution of Now the Government is giving people even greater freedoms with plans to establish a secondary annuities market SAM Due to be launched on April next year SAM will enable people to cash in their annuities in exchange for a lump sum to spend or invest how they see fit HMRC is now in the process of ironing out tax implications after launching a consultation predicting that people could take up this option Meanwhile the Financial Conduct Authority has published its own blueprint for SAM but with a warning that sellers could be exposed to significant risks Indeed experts have voiced their own misgivings arguing that SAM could be just as much of a minefield as the first hand annuities industry Tom McPhail head of retirement policy at Hargreaves Lansdown says There are still unanswered questions around the regulation of the market and how consumer protection could work we need to make sure investors don t end up getting ripped off by their insurance company for some of them possibly not for the first time Andrew Tully at Retirement Advantage says that customers with very small annuities may find a capital lump sum more appealing than a small monthly income but warns that SAM will be a complicated market He goes on We need to ensure people who currently receive poor value annuities do not think the secondary market is their means of escape Two wrongs will clearly not make it right trading your annuity is not the panacea for the lack of shopping around at retirement So how will SAM work Broadly speaking sellers can hand over their annuities to a third party an authorised broker in return for a lump sum or to buy a flexi access drawdown fund or flexible annuity The requirement to take financial advice is likely to be mandatory above a certain threshold and the customer will have to go through a new underwriting process to check health and lifestyle Mr Tully says The buyer for your annuity will consider your current health and how long they think you will live This may be different to when you originally bought the annuity if your health has since deteriorated and you will probably need to complete a medical questionnaire This will all help the buyer work out how much income they think is left from your annuity and therefore the value they will place on it Of course these things aren t cheap and there will likely be substantial costs for doing a deal He cites the costs for a medical administration possible advice and the need for the buyer to make a profit although commission will not be charged The biggest stumbling block could be tax this is payable on the cash lump sum which will be considered as part of your normal income and calculated at your income tax rate This reduces what you get from the deal and may even push you into the higher tax bracket per cent Indeed the Treasury has estimated it will make million from tax receipts in the first two years of SAM You need to be hard headed about how you will manage your pension if you trade in your annuity The SAM option may be viable if you have other sources of income such as multiple pensions or dividends from your investment portfolio much less so if you are completely reliant on your annuity Plus you cannot go back once you trade in your annuity meaning you have to be certain it is the right deal for you and you may also give up the right to transfer your annuity income to your spouse if you pass away If you do decide to cash in Steven Cameron from Edinburgh based pensions firm Aegon recommends seeking professional advice or at the very least shopping around to get the best deal He also suggests flexible drawdown as a less drastic alternative to a lump sum You can then take an income when you wish and only pay income tax on the amount you take out often cutting your tax bill",0,,,0.0,0
167,"PolitiFact Ohio
Stimulus money went to buy electric cars from Finland as a payback to Obama supporters.","PolitiFact Ohio
Stimulus money went to buy electric cars from Finland as a payback to Obama supporters. Mitt Romney In an ad airing in Ohio called Where did all the money go the Romney campaign accuses President Obama of supporting jobs overseas and cites the example of Fisker Automotive the maker of a high end plug in electric sedan Where did all the Obama stimulus money go Friends donors campaign supporters special interest groups Where did the Obama stimulus money go Solyndra million taxpayer dollars Bankrupt So where did the Obama stimulus money go Windmills from China Electric cars from Finland The day after that ad launched Republican National Committee chairman Reince Priebus expanded on the attack in Philadelphia President Obama took half a billion dollars of your taxpayer money and gave it to Fisker Automotive because they promised to create jobs at their Wilmington plant Priebus said But they didn t create jobs for you Their factory in Delaware was supposed to be open today but instead it s closed And Fisker is still building their cars in Finland Did stimulus money go to Finland What is the financial deal between the United States and Fisker and did it produce jobs in the U S Was that deal a payback to special friends of the Obama administration What Fisker got In an American car company Fisker Automotive won a total of million in loan guarantees to build two high end electric hybrids the Karma and the Atlantic originally named Nina The goal was to build the Atlantic at a defunct auto plant in Delaware Work on the Atlantic is currently on hold and the Delaware plant has yet to open The engineering and design for the Karma was done in the United States but according to the U S Energy Department the plan from the beginning was to build the cars in Finland Fisker Automotive told ABC News this work employed about Finnish workers Company spokesman Roger Ornisher says the plant has produced over Karmas so far Not stimulus dollars The claim about American stimulus dollars paying for jobs in Finland is flawed in several important respects First the money did not come from the stimulus Rather it came as a loan not a grant or a tax credit through the Energy Department s Advanced Technology Vehicles Manufacturing program That program predates the Obama administration It was not part of the American Recovery and Reinvestment Act also known as the stimulus In fact it s a program signed into existence by President George W Bush in and first funded by legislation Bush signed in The Bush administration was in charge when Fisker Automotive filed its application The Obama administration was in charge when the company s loan was approved The stimulus bill had nothing to do with it Not half a billion dollars Even as a loan Fisker Automotive has not received anywhere close to half a billion dollars So far Fisker has drawn down about million and the Energy Department won t release any more until the company completes more work The government loan package came in two parts An initial million was for design and engineering to complete the Karma using at least percent American made parts A second million loan would be to open an American plant to build the Atlantic Just about all of that second part is still in government hands For those who would say there s no guarantee that some of the federal dollars were not used to pay Finnish workers the company has an answer It says it raised much more money from private investors Ornisher told PolitiFact the total is now over billion and that the money spent in Finland was easily within the amount of that private money Fisker Automotive also says that the accounting firm of PriceWaterhouseCoopers audits its accounts to ensure that all federal dollars are spent in the U S The jobs The Karma and Atlantic projects support some Fisker employees in the United States according to Ornisher He says it s much harder to estimate the number of jobs associated with the supply of parts percent of which are supposed to come from American companies Ornishers also says the company has sold about cars in the U S and that provides work at some retailers across the country Political connections The ad hints darkly that a lot of this is tied to political friends of the president Senior Romney campaign adviser Ed Gillespie singled out the Fisker Automotive deal and one of its investors John Doerr You know you have John Doerr who raised a lot of money for President Obama and got appointed to an economic recovery advisory board he said during a briefing And then his firm had a big investment in Fisker Automotive which got over half a billion dollars in loan guarantees from the Department of Energy which did not result in jobs being created in America but actually jobs being created overseas in Finland But Kleiner Perkins Doerr s firm did quite well Doerr is a big Democratic donor more than since according to the Center for Responsive Politics And Ornisher described Kleiner Perkins Caufield Byers as one of the major investors in Fisker But as the Washington Post noted Kleiner has many partners and some of them are hefty donors on the Republican side One Ray Lane backed John McCain in The Romney campaign ad said that stimulus dollars paid for jobs in Finland There is nothing accurate in this claim The loan guarantees Fisker got were not part of the stimulus and there is no evidence that any government dollars paid for work done by Finnish workers Ornisher the company spokesman told PolitiFact the contract to produce the cars in Finland had been signed before the federal loan was approved Also measures were put in place to ensure that taxpayer dollars only went for work done in America Fisker Automotive has yet to open the factory in Delaware but it also hasn t received the large government loan needed to do that The ad s suggestion that the Fisker loan was a reward to a political supporter also falls flat The program was approved initially by the Bush administration We rule the claim False See PolitiFact Ohio stories online at politifactohio com National PolitiFact items can be found at politifact com Have a claim for PolitiFact Ohio to check out Email your suggestions to politifactohio plaind com To contact this PolitiFact writer jonzgreenberg gmail com SOURCES Romney for President Where Did All the Money Go July PolitiFact Ad says stimulus tax credits funded jobs in Finland May Congressional Research Service Energy Provisions in the American Recovery and Reinvestment Act March U S Department of Energy Alternative Fuels Data Center ARRA Department of Energy U S Energy Secretary Chu Announces Million Loan for Advanced Vehicle Technology for Fisker Automotive Sept Interview with Fisker Automotive spokesman Roger Ormisher July Washington Post Pinocchios for an unproven Romney claim of crony capitalism July ABC News Car Company Gets U S Loan Builds Cars In Finland Oct Fisker Automotive Press Releases Fisker Statement re Misleading News Reports Oct Federal Register Advanced Technology Vehicles Manufacturing Incentive Program Nov The Center for Responsive Politics Opensecrets org accessed July",0,,,0.0,0
168,"When I first set out to improve my money management skills, I benefited greatly from close friends sharing with me their actual budget numbers.
So, I'm about to return the favour and share my own household budget for FY2022-23 with you, dear reader.","When I first set out to improve my money management skills, I benefited greatly from close friends sharing with me their actual budget numbers.
So, I'm about to return the favour and share my own household budget for FY2022-23 with you, dear reader. If there was ever a financial year in which to write a household budget is it amid rising interest rates soaring power bills petrol prices above a litre and lettuces These numbers are estimates not intended as a straitjacket but a rough road map to help me navigate the expenses I am likely to encounter and to help identify where I can cut back For context my budget is for a high income household of one adult and one child living in an apartment within kilometres of the CBD HOUSING That s my minimum annual mortgage payments if you rent you d estimate that here Fortunately for me the interest rate on my home loan is fixed at per cent until mid After that ouch If you have a variable rate home loan play with the government s online MoneySmart mortgage calculator to see how coming interest rate increases may affect your repayments HOUSEHOLD This is how much I expect to spend on household upkeep comprising strata fees council rates home maintenance and repairs a guess home insurance I have contents and interior fitout cover only appliances I assume something will break furniture again I assume something will need replacing hygiene for basic supplies such as toothpaste and toilet paper cleaning supplies and d cor UTILITIES Keeping the lights on is set to become more expensive this year but it s hard to predict by how much Don t get too hung up on this I have assumed my historical energy usage rates and current pricing I know my bill may be much higher but I need a starting point This category includes electricity internet water and sewerage TRANSPORT Owning a car is expensive My transport budget covers public transport assuming three return trips to the office each working week fuel assuming one tank a month at a litre car insurance including both comprehensive and compulsory third party policies parts and accessories something always breaks or needs replacing regular servicing parking I park near work sometimes rego tolls roadside assist and Ubers FOOD I ve been tracking my food spending for about two years and it roughly averages a month to feed both myself and my son who lives with me half the week This is the cost of edible items bought to cook at home I budget for takeaway food and meals out later under the lifestyle category I suspect I could trim my food bills further but I want wiggle room to keep buying plenty of fresh fruit and veg as they become more expensive HEALTH My health budget is largely for preventative measures It includes gym membership I tried to quit to save money but I love CrossFit too much and would rather give up other things see appearance budget below It also includes health insurance I pay for basic hospital only cover with the highest possible excess doctors and specialists assumes one annual skin check four GP trips and six psychologist sessions after Medicare rebates dental for two checkups and cleans for us both optical contact lenses and solution medicines and medical equipment for masks and RAT tests EDUCATION My high cost in this category reflects a choice to pay private school fees plus an allowance for uniforms and excursions I also budget for one book a month and stationery my beloved highlighters and printer ink APPEARANCE I stopped getting my hair dyed about two years ago and I ve never been much into clothes and beauty treatments So this category is just for clothes and shoes for kids haircuts I get my friend to cut mine and for makeup LIFESTYLE I ve set my annual holiday fund at including a trip to Bali and several domestic trips The rest of my lifestyle budget goes to eating out or a month gifts including Christmas and birthdays live entertainment toys alcohol parties and functions gaming and consoles attractions hobbies and seasonal celebrations including d cor for Halloween Christmas Easter etc All discretionary PROFESSIONAL FEES Union fees are tax deductible but need to be paid for upfront so that s followed by pocket money for kiddo or a month my mortgage annual fee and donations TOTAL ESTIMATED COST OF LIVING IN FY You don t have to agree with all my decisions But I hope this inspires you to have a good look at your own Jessica Irvine is author of the best selling new book Money with Jess Your Ultimate Guide to Household Budgeting",1,,,0.0,0
172,"ST. LOUIS â€¢ Three administrators of the Firemen's Retirement System of St. Louis have together received more than $40,000 in holiday bonus pay over the past four years, even as city workers have largely gone without a raise.

Every year during the first week in December, the three fire pension employees collected checks ranging from $2,400 to more than $6,000 â€” paid via the city's payroll system as overtime.","ST. LOUIS â€¢ Three administrators of the Firemen's Retirement System of St. Louis have together received more than $40,000 in holiday bonus pay over the past four years, even as city workers have largely gone without a raise.

Every year during the first week in December, the three fire pension employees collected checks ranging from $2,400 to more than $6,000 â€” paid via the city's payroll system as overtime. This year Susan Degunia an administrative assistant who makes nearly a year charged the system for hours of overtime in the two week pay period or extra Marilyn Williams an administrative secretary who is paid a year and is the wife of system board member Bruce Williams filed for hours of overtime or And Vicky Grass the system s a year executive director signed for hours of her own overtime costing the system Over the past four years Grass has been paid more than in extra December cash Grass said the payments have never been for overtime They re actually vacation buyback authorized by pension board policy she said She just records the pay as overtime because it s easier she said We are not trying to hide anything in no way shape or form Grass said City officials however were outraged when city Director of Personnel Richard Frank discovered the payments this week Frank initially thought salaried employees were getting paid overtime something not allowed in city departments I ve never seen anything like it Frank told the Post Dispatch I just don t know what to say It s like a bonus I felt like I had an obligation ethically to share this with the administration I was just appalled Bonuses Frank said are often illegal in the state of Missouri for public sector employees But it turns out that the fire pension s vacation policies allow such buyback payments The policy which was approved in gives each employee six weeks of paid leave each year according to system records Employees can carry over up to six weeks each year giving them at max weeks of vacation they can use in one year under the policy And in December of each year the system will buy up to two weeks of each employee s vacation back from them without any stipulations In addition a policy gives each employee a bonus on Dec The overtime checks Grass said were simply two weeks of vacation buyback per employee plus She couldn t immediately explain any discrepancy between that calculation and the actual payments which were often a little lower and sometimes much higher and bristled at criticism I have no clear idea where this is coming from because we ve been doing it for so long Grass said We all consider ourselves to be the most fortunate people in the world By Wednesday the city s budget director had inquired about the charges the city counselor s office had been asked to investigate and Mayor Francis Slay s chief of staff Jeff Rainford declared that the payments were made at the expense of other city employees They decided to give themselves a Christmas bonus Rainford said That s galling While the pension system is partially funded by city firefighters they pay percent of their salary each year into the fund any marked dip in the fund balance is by law replenished by the city That means in slender years tax dollars have to make up for increases in pension administration This year the city paid more than million to the fund City employees Rainford noted this year got their first raise percent in several years The fire pension system s three full time employees administer a fund of more than million It is a creation of state law governed by a board of eight local appointees most of whom are current or former firefighters Board chairman Len Wiesehan could not be reached for comment Thursday The pension system has been under extra scrutiny for more than a year following a Post Dispatch investigation revealing widespread misuse of fire disability retirements and dozens of additional benefits rubber stamped over the years by city officials Early this year Slay introduced a plan to close the current system and open a new one with markedly less expensive payouts He sought to cut many of the add on perks and curb a disability pension so rich his staff felt that it encouraged firefighters to go out injured Moreover under the new system the board would be governed by city law not state law as it is now and its employees would be part of the city s civil service system which is governed by a lengthy and strict set of rules Vacation buybacks would only be allowed under civil service guidelines if the worker was urgently needed yet had to either use his vacation or lose it Frank said Frank himself would have to sign off on it He said the Fire Department asked for buybacks every year but he hadn t authorized such a move in five years Now however it is unclear whether Grass and her staff will end up in the civil service system After Slay s plan passed through the Board of Aldermen the pension board sued the city over the issue",1,,,0.0,0
173,"MARTIN LEWIS the Money Saving Expert has revealed to This Morning viewers how they can check if they are Â£1000s in credit with their energy provider. Britons could back Â£100s back from their electricity and gas providers, he told ITV presenters.

var brightcoveBrandsafety = '4 Sport and specialist news â€“ passed for ad targeting';","MARTIN LEWIS the Money Saving Expert has revealed to This Morning viewers how they can check if they are Â£1000s in credit with their energy provider. Britons could back Â£100s back from their electricity and gas providers, he told ITV presenters.

var brightcoveBrandsafety = '4 Sport and specialist news â€“ passed for ad targeting'; Martin Lewis the Money Saving Expert urged Britons to check if their are in credit with their energy provider today The financial expert said Check now if your energy bill s in credit As if it is at this time of year you re likely due cash back Speaking to presenters on the popular ITV programme he said If you re one of about per cent who pay for electricity or gas bills by direct debit check now if you re due credit back the timing is perfect so don t delay in checking He went on to explain that this time of year is the most likely time that Britons could claim back credit from their energy provider The amount they could claim back is in the hundreds so it may well benefit your pocket to look into this Martin told This Morning viewers With most direct debit energy bills you pay the same each month to smooth out the cash flow In other words you overpay in the low use summer months to prevent bill shock in the costly winter months Yet direct debits are usually an estimate of your usage which means they can be and often are wrong though as it s cyclical it s often tough to tell until this point of year In around May your energy account will bottom out and be in debit and as it can take a bit of time to filter into your bill this is a spot on moment to check Martin Lewis Money Saving Expert Check NOW if you are up to s in credit on energy bills Martin Lewis Money Saving Expert per cent of Britons pay It means everyone regardless of when you switched should usually be at the lowest point and not in credit If you re in credit by over a month s direct debit then assuming you give regular meter readings or have a smart meter check your energy account online or on the phone Martin said To be a month s worth in credit right now is a lot so unless you re with one of the few firms that pay you interest on it politely request your provider explains why and if its reason isn t good enough ask for the cash back The impact can be huge as Claire tweeted MartinSLewis Phoned my energy supplier as I was paying mth and was in credit They reduced my DD to and I got a refund Full help in Martin s how to reclaim s in energy credit blog Martin Lewis Money Saving Expert The amount you could claim back is in the hundreds Yesterday Martin Lewis addressed the BBC TV licence fee Today Martin said My initial response was that they have chosen the benefit which is one of the worst claimed benefits which I find somewhat frustrating He hoped the BBC used their resources to communicate that people should be claiming state pension credit if they are eligible He said million homes are eligible for the credit but don t claim it He said per cent of those eligible don t claim it Let s do this together he said let s make this a sea change Lets talk about this lets make this a national conversation",0,,,0.0,0
174,"
Women Empowering Women - what could be bad about a scheme like that?
Plenty, if thousands are left in debt. Viv Groskop reports



Traditionally, women are better at managing debt than men. We own fewer
credit cards, borrow less money and pay it back more quickly. But
according to both the department of trade and industry's debt task
force, many more women are in the red. The trend won't show up in the
national bankruptcy statistics for another year or so. But there is
another barometer: the popularity of a financial scheme called Women
Empowering Women (WEW).
","
Women Empowering Women - what could be bad about a scheme like that?
Plenty, if thousands are left in debt. Viv Groskop reports



Traditionally, women are better at managing debt than men. We own fewer
credit cards, borrow less money and pay it back more quickly. But
according to both the department of trade and industry's debt task
force, many more women are in the red. The trend won't show up in the
national bankruptcy statistics for another year or so. But there is
another barometer: the popularity of a financial scheme called Women
Empowering Women (WEW).
 A system which purports to help women help each other it is in fact a traditional pyramid selling scam and one which many women are getting into debt to join Despite months of negative publicity since the scheme collapsed on the Isle of Wight earlier this year thousands are still paying to put their their names on a heart chart as the pyramids are known There are schemes all over Britain with an estimated women involved The set up is informal there is no central organisation You go to a party have a glass of wine and a handful of crisps hand over the money and leave with your heart Once eight investors have entered below you on the pyramid chart you collect Some women claim to have collected within days The scheme runs on word of mouth most women join through a friend colleague or relative To keep it going they just recruit more friends Financially it works but only at first But sooner rather than later the scheme runs short of recruits On the Isle of Wight with a population of only the scheme faltered within months leaving an estimated of investors with nothing and no chance of compensation Even in the US with its vast population where schemes ran under names like The Ya Ya Sisterhood after Rebecca Wells s girl bonding novel WEW collapsed within a year By the end of last year as the craze reached a peak more than a dozen women were arrested for running gifting clubs and hundreds more face law suits The practice is now illegal in nine states Tracey McHale is a typical Isle of Wight victim A beautician and single mother from Shanklin she lost in May when she invested in a scheme she had heard about on the local radio station The day I went to give in my money there were five other women queueing with cash I just got given a blank piece of paper which was supposed to be my heart From day one I thought it was a fraud but all I heard was good news about it that people had bought new kitchens and had all this money She has joined another scheme the Isle of Wight s Community Investment Club with other losers and from an initial stake has had back so far I joined this one because I had no choice I had lost every penny I had she says To survive and find new recruits the scheme sugar coats a direct appeal to greed by telling women they will be helping other women and getting their own back on the male dominated capitalist system Although WEW has apparently no central structure there is literature usually badly photocopied and barely legible or downloaded from the internet It uses woolly touchy feely caring sharing phrases such as supporting other women and says WEW aims to facilitate a safe place to help eradicate the poverty and isolation that many women suffer This is the sort of language that first attracted Sharon A housewife and mother of two from Sutton Coldfield her husband is managing director of a company and they have a second home in Spain She is going through the heart chart for the second time It s about supporting each other I joined with my friend we went halves and each paid Within five weeks we collected between us I haven t seen any harm come out of it I ve seen women collect She is annoyed that the bad publicity is stopping more women from benefiting It was on GMTV and since then it s more difficult to get people to join she says Bridget from North London says she was also impressed by the so called gifting aspect of the scheme Women who have already had a pay out or can afford to be generous anyway are encouraged to help out less fortunate women by paying some or all of their share I joined this scheme to help other women make money and I can see that it works I have seen a lot of women make thousands already and give other women the chance to join But it s the caring and sharing approach that makes WEW dangerous says Robert Fitzpatrick president of Pyramid Scheme Alert a leading US authority on financial scams It purports to be a new value system support not competition giving not taking networking These are portrayed as values that women are particularly tuned into And they are values scorned in the normal business world That resonates very strongly with a lot of women WEW has nothing to do with women per se All the rhetoric used in WEW can be said of all the other pyramid schemes They always spread by personal contact you need a camouflage a story geared towards a specific group If the group is New Agey the story will be about vaguely philosophical concepts like attracting abundance into your life Similarly there are schemes in the US for African Americans which promote exactly the same ideals as Women Empowering Women about overcoming past grievances making up for previous losses getting even after discrimination Donna Bradshaw is a director at the London based financial advisers Fiona Price Partners which specialises in giving advice to women She has been approached by several professional women asking whether they should invest in WEW Women are portrayed as less financially astute and this scheme is taking advantage of that Basically it panders to people s greed although they wrap it up very nicely Some of the women seem to get so confused by the logistics of it all that it is legal to use their annual gift exemption of for example that they don t look at the mechanics Which is that sooner or later it will dry up I would really like to see it made illegal The title makes me sick You re not empowering anyone you re just weakening your financial position The women who remain in WEW however are convinced that they are right no matter what anyone says Sharon even plans to re invest to stop the cycle from ending But as Fitzpatrick points out Re investing will delay the in evitable but it can t change the maths God forbid that someone asks the horrible question Where does it all end Because that is the whole point of course it will end And more than of people who have invested money will lose it",1,,,0.0,0
178,"There will be no increase in tuition at Otero Junior College for the 2021-22 academic year.

The State Board for Community Colleges and Occupational Education (SBCCOE) voted in mid-April to set tuition rates for the Colorado Community College System (CCCS). The outcome was to keep tuition flat, meaning that there will be no increase in tuition costs for students.","There will be no increase in tuition at Otero Junior College for the 2021-22 academic year.

The State Board for Community Colleges and Occupational Education (SBCCOE) voted in mid-April to set tuition rates for the Colorado Community College System (CCCS). The outcome was to keep tuition flat, meaning that there will be no increase in tuition costs for students. That and the addition to the implementation of the Open Educational Resources Grant OER will play a big role in lifting some of the financial burden for students The OER Grant is providing funds for the Otero faculty to be able to create and provide course content and guides online in replacement of books for some classes The CCCS was able to accomplish this tuition freeze because of increased funding by the state for higher education this year Otero and the additional community colleges are the largest providers of undergraduate education and workforce training in Colorado One of the main goals is to remain affordable while providing a quality education for its students This past year has been financially difficult for a lot of people including many of our students said OJC controller Jenn Johnston There have been several changes to schedules employment and other life circumstances that have been difficult to adjust to By offering a flat tuition rate we hope it will help support those who are already enrolled in courses and encourage those considering enrolling to take that step Registration for summer and fall semesters is currently open For more information on registration call Tribune Democrat reporter Ken Hamrick can be reached by email at KHamrick gannett com Help support local journalism by subscribing to the La Junta Tribune Democrat",1,,,0.0,0
184,"Seven in 10 young pension savers risk heading for a cash shortfall in their retirement, a report warns.

People aged 22 to 29 years old typically expect to need an annual income of just over Â£23,000 for a comfortable retirement, a survey from Scottish Widows found.","Seven in 10 young pension savers risk heading for a cash shortfall in their retirement, a report warns.

People aged 22 to 29 years old typically expect to need an annual income of just over Â£23,000 for a comfortable retirement, a survey from Scottish Widows found. But based on the amounts people in this age group said they were saving the insurer calculated they could face an average shortfall of around per year as they could typically expect to end up with a yearly income of Scottish Widows found that per cent of people surveyed in this age group were not saving enough It suggests that people should be putting away per cent of their income including any employer contributions More than a third said student loans were eating into their monthly pay cheques while per cent had unpaid credit card bills",1,,,1.0,1
185,"A RARE 50p has sold for hundreds of pounds and you could have one hidden in your change.

The Kew Gardens 50p can sell online for 500 times its actual value â€“ hereâ€™s how to check if thereâ€™s one in your wallet.","A RARE 50p has sold for hundreds of pounds and you could have one hidden in your change.

The Kew Gardens 50p can sell online for 500 times its actual value â€“ hereâ€™s how to check if thereâ€™s one in your wallet. According to Change Checker s latest scarcity index the Kew Gardens p is the rarest coin with only in existence On its reverse side is an image of the Chinese pagoda that stands in the London attraction the coin is named after In February a circulated version of the coin sold for on eBay with bids placed The coin has fetched prices including and before too so is an impressive final sale price Other Kew Gardens ps have sold for more like this one for but they are usually uncirculated meaning you won t stumble across one in your change How to spot one and make a mint It s worth looking through your cash to find unique designs if you spot one you could make a lot of money from it on eBay The Kew Gardens p like other commemorative style coins will sometimes sell for hundreds of pounds It was issued in so check your coin for the correct date The Kew Gardens p has a Chinese Pagoda on one side and the Queen s face on the other It s not the only rare coin that could sell for hundreds and minting errors raise interest too Rare coins are produced in low numbers so demand from collectors is high If you look at other listings on eBay you ll be able to determine how much your own change could go for But you should also always keep in mind that on eBay a buyer could pull out which means the coin won t have sold for the price it says it has Be cautious of fakes too as they ll often show up online You can check your change with experts like Coin Hunter or The Royal Mint if you want to know how much it could be worth We pay for your stories Do you have a story for The Sun Online Money team Email us at money the sun co uk",0,,,0.0,0
188,"BEREAVED families are facing long delays and costly administration errors when wrapping up their loved ones' finances during the pandemic.

Four in ten people say it has taken more than three months to close all their accounts, a report from consumer group Which? reveals. Money Mail has been campaigning for the bereaved to receive a more consistent service for six years.","BEREAVED families are facing long delays and costly administration errors when wrapping up their loved ones' finances during the pandemic.

Four in ten people say it has taken more than three months to close all their accounts, a report from consumer group Which? reveals. Money Mail has been campaigning for the bereaved to receive a more consistent service for six years. Major banks pledged to make their processes quicker and easier but customers are still reporting difficulties One in six people said it was very difficult to contact providers up from just pc before lockdown Which says One in ten was also dissatisfied with the skill demonstrated by bank staff while dozens said death certificates had gone missing Barclays and HSBC had the lowest levels of overall satisfaction One grieving daughter had to fork out in funeral fees herself after HSBC lost her late father s death certificate And a Barclays customer told Which that his bank set up an executor s account that couldn t be managed online Jenny Ross Which money editor says Our research has exposed unacceptable mistakes by banks cropping up again and again during the probate process v bischoff moneymail co uk Daily Mail",1,,,0.0,0
189,"Social networking start-up Yammer Inc. has hired a top sales executive from Salesforce.com Inc. (CRM) to guide its push into enterprise services.

David Obrand will become vice president of global sales for Yammer after spending nearly 10 years with San Francisco-based Salesforce.com. Yammer is free to businesses, but the company earns revenue from upgrades to security, customer service and other features of the social networking service. In his new role, Obrand will oversee that world-wide sales effort. At Salesforce.com, he was vice president of vertical sales.","Social networking start-up Yammer Inc. has hired a top sales executive from Salesforce.com Inc. (CRM) to guide its push into enterprise services.

David Obrand will become vice president of global sales for Yammer after spending nearly 10 years with San Francisco-based Salesforce.com. Yammer is free to businesses, but the company earns revenue from upgrades to security, customer service and other features of the social networking service. In his new role, Obrand will oversee that world-wide sales effort. At Salesforce.com, he was vice president of vertical sales. Yammer is one of a handful of start ups and several big companies offering social networking services for the enterprise Last week Oracle Corp ORCL announced it would create a networking feature for its Oracle Cloud Microsoft Corp MSFT soon will offer a social networking feature with its customer relationship management software as well Salesforce com introduced its own social networking feature called Chatter last year and since has integrated it into the core of its customer relationship management software service Yammer by comparison focuses only on social networking for businesses Last month Yammer raised million in a secondary round of venture funding led by the Social Capital Partnership a fund established by former Facebook vice president Chamath Palihapitiya Facebook is an investor in the fund along with about Silicon Valley technologists and philanthropists Social Capital contributed million of the million Yammer raised in the offering By Steven D Jones Dow Jones Newswires steve d jones dowjones com ET",0,,,0.0,0
190,"Southwest Health to host estate planning seminar

PLATTEVILLE, Wis. - Southwest Health will host a free estate planning seminar.","Southwest Health to host estate planning seminar

PLATTEVILLE, Wis. - Southwest Health will host a free estate planning seminar. The seminar will be held from to p m Nov at the hospital Eastside Road in Platteville according to a press release The seminar is sponsored by Mound City Bank The seminar will feature a panel of speakers including an attorney social worker veterans services staff and others A light dinner will be served Register at southwesthealth org estate planning or call Tammie Richter at by Nov",0,,,0.0,0
