,word,frequency
1313,measure,47
23,legal,47
243,borrowing,47
4115,list,47
295,affordable,47
690,12,47
2302,2015,47
307,announced,47
263,immediate,46
1920,step,46
3323,contract,46
548,statement,46
2208,idea,46
2703,main,46
2482,biggest,46
1371,coming,46
1190,regular,46
1022,aside,46
497,funding,45
205,former,45
2333,"""i",45
1660,net,45
657,taxed,45
552,basic,45
1573,remain,45
1778,foreclosure,45
2340,provides,45
784,boost,45
616,email,45
835,vehicle,45
1275,saved,45
2207,detail,45
98,matter,45
69,married,45
264,concern,45
3280,revenue,44
2543,mind,44
5355,history,44
752,general,44
617,co,44
1074,requirement,44
879,turn,44
510,similar,44
1069,official,44
1020,specific,43
2995,institution,43
1967,application,43
450,grant,43
693,typically,43
1716,particularly,43
585,reduced,43
1909,aid,43
1917,18,43
1971,conservative,43
840,york,43
2105,baby,43
1218,itâ€™s,43
2127,stop,43
2304,highest,43
892,tell,43
1349,trade,42
1232,thought,42
2311,guaranteed,42
1410,bought,42
2979,receiving,42
1697,meaning,42
2835,tuition,42
904,secure,42
3998,scholarship,42
727,hope,42
1875,moving,42
1979,putting,42
2427,everything,42
2326,switch,42
2759,repair,42
2414,greater,42
618,q,42
213,saying,42
539,tool,42
614,story,42
532,universal,42
594,includes,42
185,largest,42
3330,withdrawal,41
1873,provided,41
1476,drop,41
1348,allowed,41
325,probably,41
1181,seven,41
2327,career,41
1085,view,41
1605,practice,41
3520,following,41
1852,reported,41
2137,grow,41
641,subject,41
468,renter,41
357,cap,40
291,economist,40
2814,document,40
828,lack,40
2269,soon,40
3142,test,40
606,estimate,40
507,giving,40
516,latest,40
1558,bureau,40
851,considering,40
2236,dividend,40
4435,committee,40
2727,coin,40
1671,considered,40
773,released,40
151,related,40
2861,release,39
2599,enrollment,39
3752,annually,39
1575,keeping,39
260,borrow,39
323,cant,39
983,attorney,39
3696,b,39
1833,august,39
230,labor,39
1293,threshold,39
526,entitled,39
2902,younger,39
92,theyre,38
2905,class,38
800,close,38
313,talk,38
3762,2014,38
2225,60,38
3384,growing,38
957,helping,38
432,behind,38
1720,approach,38
2255,allows,38
1616,quarter,38
4095,file,38
7688,canadian,38
2330,decide,38
1695,bad,38
206,reserve,38
2332,ability,38
1710,2020,37
1443,boomer,37
1236,remains,37
2475,common,37
4752,direct,37
1001,inc,37
2432,everyone,37
3227,"""we",37
570,circumstance,37
862,center,37
2715,safe,37
844,washington,37
36,finding,37
2689,retail,37
81,automatically,37
1830,june,37
2928,sold,37
965,2016,37
517,hand,37
145,registered,36
658,40,36
1796,pandemic,36
1588,financially,36
2470,unless,36
280,protect,36
1540,raise,36
1652,clear,36
6862,overdraft,36
1525,analysis,36
519,authority,36
3287,seems,36
1524,fewer,36
311,position,36
128,anyone,36
333,australian,36
227,proposal,36
54,event,36
3039,isnt,36
2303,anything,36
197,warned,36
1633,sense,36
962,focus,35
925,independent,35
3680,mother,35
1496,trend,35
988,exempt,35
1543,known,35
2860,www,35
3603,section,35
2282,daily,35
2730,trustee,35
2380,utility,35
1615,seen,35
1355,affected,35
3008,force,35
3797,transfer,35
2119,world,35
3498,condition,35
2681,chance,34
1152,worry,34
4444,economy,34
581,sometimes,34
872,thinking,34
1893,december,34
1934,senate,34
2512,resource,34
1930,summer,34
200,actually,34
863,liability,34
1228,travel,34
3691,necessary,34
1574,quite,34
845,along,34
2934,median,34
707,original,34
3532,determine,34
3704,fully,34
2331,experience,34
1775,wait,34
1954,3,34
768,proposed,34
566,gas,34
424,struggling,34
2948,addition,34
3361,millennials,34
1038,present,34
1708,bracket,34
3962,previous,34
642,donâ€™t,33
4272,police,33
782,introduced,33
1314,easier,33
1307,landlord,33
1413,eventually,33
2864,despite,33
2082,toward,33
2947,deductible,33
30,final,33
3253,quality,33
586,depends,33
1970,6,33
2266,separate,33
1043,lifestyle,33
2919,whole,33
3324,tip,33
222,prevent,33
1805,penalty,33
1955,target,33
2135,earned,33
9208,tsp,33
632,25,32
511,meanwhile,32
3047,kind,32
630,special,32
2247,spent,32
493,emergency,32
1766,mark,32
1564,achieve,32
2667,whose,32
2690,banking,32
2308,create,32
883,seek,32
1547,gap,32
2886,middle,32
736,lead,32
3774,development,32
2879,america,32
2107,wont,32
5200,san,32
73,entire,32
1760,variable,31
3626,divorce,31
2535,suggests,31
604,hundred,31
2964,monday,31
583,reduction,31
785,effort,31
1724,remember,31
179,larger,31
1807,created,31
2094,contributing,31
3454,providing,31
1519,nest,31
3058,mistake,31
1522,increasing,31
3569,pas,31
9,provision,31
6216,january,31
4426,son,31
628,rest,31
576,e,31
343,demand,31
1306,included,31
241,guarantee,31
4514,directly,31
2988,commission,31
2067,passed,31
2853,learn,31
5488,st,30
396,gone,30
2781,mail,30
251,leaving,30
1892,rental,30
173,ten,30
2545,perhaps,30
3,losing,30
1401,majority,30
2159,workplace,30
2900,n,30
1364,2012,30
412,encourage,30
4537,shopping,30
189,minister,30
3548,portion,30
8003,auto,30
2171,reached,30
2627,unit,30
1215,nh,30
706,equal,30
3010,relationship,30
1682,exemption,30
1566,maintain,30
2980,white,30
3486,allocation,30
2472,improve,30
3263,track,30
1468,bigger,30
3948,carry,30
1330,fear,29
4405,concerned,29
3118,letter,29
615,team,29
2981,comment,29
1559,statistic,29
5498,minnesota,29
3575,filing,29
1015,self,29
2630,outside,29
2704,purpose,29
2586,role,29
1415,flat,29
2431,stand,29
3347,room,29
1367,lost,29
1510,double,29
2978,published,29
1557,guide,29
440,england,29
1473,held,29
3331,withdraw,29
858,george,29
2763,default,29
1167,medium,29
3299,went,29
4203,born,29
3508,2017,28
5876,bring,28
2651,habit,28
1769,ownership,28
5548,military,28
1008,complete,28
1774,ahead,28
1073,meeting,28
3585,party,28
2676,involved,28
2530,im,28
5076,seller,28
3510,sent,28
2062,upon,28
550,existing,28
1689,obama,28
2111,degree,28
767,cause,28
1249,near,28
1535,relatively,28
2061,vacation,28
1961,associated,28
537,charity,28
2287,adjustment,28
4771,facing,28
792,jones,28
31,wish,28
478,via,28
4176,stress,28
469,unable,28
2728,changing,28
2484,seem,27
2058,limited,27
1003,qualified,27
3701,refund,27
1257,computer,27
1217,priority,27
2069,true,27
4075,pc,27
2452,isa,27
3729,electric,27
553,together,27
508,pensioner,27
2706,responsibility,27
2416,international,27
2234,4,27
2034,incentive,27
2334,recommend,27
4993,poor,27
2158,beyond,27
1718,road,27
1442,roughly,27
275,running,27
1592,follow,27
4043,holiday,27
2680,calculated,27
659,45,27
4695,bonus,27
3513,quickly,27
3316,asking,27
2466,leading,27
3065,write,27
3233,valuable,27
3212,search,27
2593,noted,26
607,depending,26
3213,organization,26
3177,arent,26
698,yes,26
2151,huge,26
3845,spokesman,26
1584,assume,26
14,specialist,26
2551,holding,26
1042,reverse,26
3117,arrangement,26
4611,rich,26
2922,burden,26
4032,70,26
2594,comfortable,26
3726,pet,26
2328,changed,26
2760,secured,26
3416,reporting,26
1172,pocket,26
871,medicaid,26
2655,promise,26
2813,ameritech,26
1470,researcher,26
3295,send,26
3748,continues,26
971,critical,26
1863,post,26
2843,base,26
2447,break,26
3460,lending,26
1247,bit,26
1672,gross,26
2461,understanding,26
5914,firefighter,26
2164,author,26
2840,suggest,26
1759,charged,25
3828,officer,25
2047,finally,25
1373,typical,25
2183,reader,25
2336,shortterm,25
1077,agent,25
2460,confident,25
2259,aftertax,25
1210,pressure,25
1059,approved,25
302,leader,25
1853,2021,25
1461,ratio,25
4023,lewis,25
2238,certainly,25
6154,fico,25
807,9,25
3130,whats,25
1498,prior,25
495,nation,25
3307,fair,25
3042,aware,25
3049,david,25
3387,revealed,25
869,rely,25
3310,outstanding,25
502,designed,25
4037,wrong,25
4501,reward,25
664,please,25
1609,stage,25
9336,labour,25
903,join,25
2842,outcome,25
1732,effective,25
445,supplier,25
12478,westpac,24
371,regulation,24
2232,7,24
838,oregon,24
2437,teacher,24
4905,smart,24
8338,village,24
4439,hike,24
2816,recommends,24
6328,checking,24
489,chancellor,24
952,feature,24
1169,disability,24
3326,popular,24
1517,pre,24
116,"""if",24
4362,came,24
1115,worked,24
916,alone,24
4011,funded,24
2802,editor,24
530,various,24
7737,mpaa,24
2597,regardless,24
5160,healthy,24
1951,issued,24
3528,adjusted,24
1021,setting,24
1752,transaction,24
2570,tend,24
3144,consultant,24
2010,sponsor,24
4224,man,24
1312,reasonable,24
1386,legislation,24
3939,yield,24
2584,showed,24
2358,split,24
4853,debit,24
1076,enrolled,24
1243,initial,24
803,65,23
1454,prepared,23
2716,highly,23
1944,representative,23
328,tuesday,23
6228,dependent,23
360,forward,23
3087,calculate,23
4246,willing,23
363,drive,23
196,falling,23
308,sunday,23
3700,rrsps,23
1334,reality,23
2917,fed,23
2134,requires,23
1924,residential,23
6340,compare,23
7142,edward,23
2081,sound,23
3693,moran,23
5151,prescription,23
2832,cheaper,23
941,significantly,23
283,pretty,23
1754,duty,23
4165,training,23
2444,population,23
2554,vice,23
101,james,23
4029,turned,23
2585,play,23
2696,non,23
974,ready,22
368,supply,22
4469,exchange,22
3302,discount,22
2811,potentially,22
2421,worse,22
240,effectively,22
4517,notice,22
1520,egg,22
2412,confidence,22
2276,managing,22
1056,8,22
951,expectation,22
3478,moved,22
4882,2019,22
43,die,22
5107,coronavirus,22
3207,manage,22
4526,nerdwallet,22
250,$100000,22
1537,increasingly,22
2876,regularly,22
1872,signed,22
2950,eight,22
342,strong,22
579,scottish,22
1328,town,22
5744,library,22
4213,user,22
3955,else,22
2204,fail,22
2859,http,22
725,congress,22
2213,$1000,22
2284,2018,22
569,vary,22
4025,decided,22
1337,green,22
1617,compensation,22
1164,brought,22
3491,appropriate,22
5210,foundation,22
3911,piece,22
4421,twitter,22
1435,adding,22
485,launched,22
1445,easily,22
3349,discus,22
3077,employed,22
3511,christmas,22
3334,negative,22
4116,agreement,22
2857,link,21
4175,raised,21
1959,covid19,21
4242,lawyer,21
14246,seminary,21
4468,volatility,21
131,"""it",21
3452,focused,21
1650,ltd,21
473,covid,21
2598,automatic,21
3209,stick,21
743,wanted,21
4542,youve,21
1072,content,21
561,owed,21
1880,paper,21
1267,belief,21
2894,corp,21
3739,electricity,21
8170,asheville,21
933,model,21
1482,slightly,21
1736,actual,21
2121,game,21
3897,conduct,21
3600,jan,21
1593,plenty,21
917,previously,21
2602,helped,21
2011,black,21
1916,substantial,21
1827,11,21
1698,didnt,21
2583,trigger,21
1188,trip,21
1675,happen,21
1629,35,21
2644,performance,21
1111,daughter,21
1013,watch,21
1173,elizabeth,21
1799,began,21
2415,claimed,21
2825,success,21
890,principal,21
5653,skill,21
4419,flexibility,21
3437,educational,21
3011,roll,21
3556,reducing,21
1983,trillion,21
1087,version,21
1530,approximately,21
1477,covered,20
2940,serious,20
3925,priced,20
4264,particular,20
662,citizen,20
612,exactly,20
2578,size,20
1882,treasury,20
2029,certified,20
4547,offset,20
2927,treatment,20
4434,14,20
4617,intended,20
1383,31,20
7608,widow,20
5373,freedom,20
3029,$10000,20
2596,knowledge,20
1049,continuing,20
1635,establish,20
934,backed,20
1838,delay,20
5110,steve,20
1508,dropped,20
2196,word,20
3275,vanguard,20
1229,communication,20
7453,2006,20
2614,variety,20
4154,filed,20
2410,catch,20
1798,trump,20
3328,attractive,20
1532,affair,20
2295,analyst,20
3592,flexible,20
5093,recession,20
2640,charging,20
5408,generous,20
3648,written,20
772,otherwise,20
4532,republican,20
1723,failing,20
465,towards,20
6298,deadline,20
3383,response,20
2178,column,20
1132,equivalent,20
557,gov,20
3262,built,20
788,press,20
62,importance,19
376,paul,19
18,picture,19
6203,colorado,19
4229,weekly,19
7792,â£1,19
2674,corporate,19
1322,miss,19
877,generate,19
3138,human,19
1163,thompson,19
2312,kiplinger,19
2566,respondent,19
3644,fix,19
1963,unemployment,19
2251,thanks,19
1448,attention,19
2323,applied,19
2561,consideration,19
4599,eligibility,19
911,paycheck,19
1450,shortfall,19
1606,texas,19
2378,maintenance,19
2701,trouble,19
2357,planned,19
4232,looked,19
1424,category,19
5397,iht,19
3933,homeownership,19
2194,forget,19
1533,immediately,19
2976,knowing,19
7008,529,19
2091,wednesday,19
2093,agreed,19
1283,agree,19
5638,missing,19
2097,evidence,19
2953,holder,19
1097,north,19
2459,felt,19
1864,â€œthe,19
41,happens,19
801,poverty,19
1271,earner,19
4774,inquiry,19
2942,prospect,19
2897,technology,19
4681,maybe,19
427,fuel,19
1561,us,19
4079,jump,19
4131,error,19
5142,fidelity,19
5598,calling,19
2435,throughout,19
5720,80,19
2426,combined,19
1063,complex,19
3184,modified,19
1544,cpi,19
7678,toronto,19
6758,relative,19
7089,youâ€™re,18
1817,corporation,18
4751,design,18
4128,became,18
5193,prudential,18
1687,code,18
1569,accept,18
1518,replace,18
1631,page,18
1568,sacrifice,18
1728,surviving,18
7033,johnson,18
2635,interested,18
109,crucial,18
2133,accumulate,18
2998,"""this",18
2149,assuming,18
3639,political,18
524,calculator,18
3734,cheap,18
3724,web,18
661,copyright,18
2387,internet,18
4317,phil,18
3708,therefore,18
2222,relevant,18
2833,certificate,18
3689,cpp,18
3000,harder,18
494,package,18
3192,richard,18
2245,managed,18
2799,regulator,18
486,october,18
4368,land,18
2325,collect,18
2321,applies,18
677,lawmaker,18
2289,driver,18
2299,zero,18
111,andrew,18
6029,marriage,18
620,55,18
888,michael,18
2973,hurt,18
2049,jersey,18
2926,primary,18
4263,ass,18
565,british,18
2946,owned,18
1296,responsible,18
1057,21,18
649,remaining,18
634,youâ€™ll,18
2912,positive,18
3373,decline,18
4841,west,18
5650,payroll,18
3141,church,17
2609,died,17
4021,peter,17
56,dy,17
8604,gps,17
703,smaller,17
2993,senator,17
1444,retiring,17
4735,dr,17
2629,method,17
967,series,17
4749,nonprofit,17
2345,extended,17
958,aging,17
1572,apartment,17
895,journal,17
3527,exceed,17
58,paperwork,17
1659,safety,17
2350,dream,17
3605,qualifying,17
2508,structure,17
12795,wedding,17
95,"""its",17
3346,renting,17
4828,royal,17
4944,mattress,17
5469,brown,17
1481,webb,17
2301,17,17
1674,raising,17
2145,talking,17
1282,buytolet,17
210,gave,17
819,meant,17
8980,update,17
6283,fire,17
6549,michigan,17
2877,rose,17
4881,withdrawn,17
3126,ill,17
4223,select,17
564,instance,17
2023,shall,17
3838,$1,17
1986,2022,17
3110,opinion,17
3225,deliver,17
1663,enjoy,17
5401,reflect,17
4285,missed,17
4096,gold,17
1555,j,17
2275,joint,17
3674,mature,17
3311,originally,17
3656,feeling,17
123,sort,17
1197,equipment,17
506,reading,17
4332,february,17
837,opt,17
6184,subsidy,17
3134,stated,17
53,distributed,17
1546,pace,16
3434,ceo,16
4070,2011,16
753,consequence,16
3325,becoming,16
3185,fit,16
959,elderly,16
833,enroll,16
1494,highlight,16
5894,claiming,16
475,sun,16
704,fell,16
1641,activity,16
2723,contributed,16
4942,hybrid,16
834,sponsored,16
12668,gina,16
588,seeing,16
1779,shown,16
5195,active,16
5370,kept,16
1835,banker,16
3687,explains,16
3979,forgiveness,16
1200,unlike,16
309,load,16
3069,night,16
5113,healthcare,16
4967,ebay,16
3075,workforce,16
2092,surveyed,16
5372,nine,16
4280,appeared,16
451,explain,16
3084,choosing,16
1388,restriction,16
2059,unused,16
162,britain,16
6123,minute,16
2017,advance,16
6139,authorized,16
1973,seeking,16
6972,surcharge,16
1958,spread,16
184,australia,16
4583,south,16
2258,ideal,16
682,disclosure,16
1430,accountant,16
3013,adjust,16
1570,forced,16
1026,conversion,16
4866,temporary,16
1058,purchased,16
5079,listing,16
2433,repay,16
2424,gender,16
697,28,16
3023,attempt,16
2943,bottom,16
1463,2013,16
3052,hearing,16
2371,residence,16
6213,amendment,16
1786,eviction,16
1795,global,16
6323,stakeholder,16
387,side,16
2316,spousal,16
6032,heart,16
3661,shift,16
14632,uggla,15
3111,necessarily,15
4103,lend,15
3906,founder,15
3234,proper,15
2191,obtain,15
7304,autoenrolment,15
2389,entertainment,15
4007,sister,15
3637,whatever,15
5255,province,15
1819,mae,15
2265,facility,15
2252,compound,15
202,firsttime,15
3968,16,15
2888,central,15
3735,natural,15
3743,thursday,15
6087,determined,15
1904,replaced,15
5365,weekend,15
9132,deducted,15
3930,assessment,15
1984,pushed,15
1968,sufficient,15
2409,colleague,15
2413,dealing,15
13037,pers,15
7171,ohio,15
2867,largely,15
3285,24,15
2829,conversation,15
5805,walk,15
2796,wrote,15
3327,deferred,15
4054,mobile,15
3339,speak,15
2746,correct,15
4040,2008,15
3355,lowest,15
3356,suitable,15
5871,station,15
2685,barclays,15
3430,elsewhere,15
2619,wealthy,15
2601,diversified,15
3480,matching,15
2547,opening,15
6174,vulnerable,15
5685,led,15
1515,replacement,15
893,wall,15
1199,promised,15
1552,experienced,15
715,click,15
5126,gradually,15
940,grown,15
1400,vast,15
1092,writer,15
6721,award,15
1582,assumption,15
4595,earns,15
310,solid,15
708,continued,15
444,owe,15
4279,heard,15
593,status,15
1285,driving,15
744,useful,15
12502,tariff,15
1123,receives,15
885,ground,15
1107,struggle,15
1209,normal,15
4521,eye,15
8718,immigrant,15
1039,taxation,15
3584,essential,14
1714,22,14
1091,guardian,14
5847,childrens,14
1120,campaign,14
5132,explained,14
4141,caused,14
5382,tackle,14
2449,maternity,14
791,dow,14
2834,associate,14
2190,writing,14
5764,sitting,14
786,passing,14
10275,morles,14
4004,copy,14
2820,push,14
2132,scenario,14
855,fiscal,14
6319,junior,14
910,deduct,14
4775,fifth,14
6700,brokerage,14
1744,sharing,14
4384,touch,14
7516,combination,14
4760,physician,14
1826,protected,14
3450,region,14
6196,district,14
6430,academic,14
3917,delivering,14
4508,competitive,14
5332,jumped,14
4829,suit,14
5159,letting,14
188,prime,14
4978,excellent,14
3318,request,14
3514,v,14
5954,table,14
2528,recommendation,14
2793,approval,14
3860,expand,14
3863,win,14
2511,identify,14
4257,clearly,14
3878,quote,14
3499,met,14
3926,resulting,14
3928,fca,14
1881,saturday,14
2590,indeed,14
1417,canâ€™t,14
2675,rare,14
6365,hmrc,14
571,claimant,14
6335,regarding,14
3801,illness,14
2771,project,14
2555,specifically,14
3954,risen,14
12161,testamentary,14
435,shopper,14
2804,park,14
9603,dear,14
3309,dispute,14
1380,drink,14
2768,amid,14
10455,freehold,14
3098,host,14
8168,buncombe,14
4525,donald,14
4356,undergraduate,14
2847,handle,14
1599,behavior,14
2854,farm,14
2263,perfect,14
4064,100,14
1669,dec,14
3091,waiting,14
5572,complicated,14
639,drawdown,14
1156,light,14
4139,appears,14
3980,upfront,13
6912,sooner,13
4443,vote,13
7133,applicant,13
1850,90,13
1000,consulting,13
3465,fast,13
2580,barrier,13
6811,penny,13
4680,fourth,13
3682,nursing,13
1521,eating,13
4836,slow,13
2819,"""there",13
2844,fill,13
1661,heir,13
1177,behalf,13
8240,cycle,13
2616,moment,13
7791,bob,13
1803,allowing,13
1545,w,13
3156,prove,13
2240,joined,13
1456,comfortably,13
1673,thus,13
7381,fallen,13
6181,commitment,13
3001,cutting,13
2874,saw,13
813,participate,13
168,coalition,13
3874,conducted,13
1596,contrast,13
644,multiple,13
5321,"""a",13
1604,professor,13
2718,stream,13
1342,closer,13
1607,tech,13
1611,nice,13
2502,yearly,13
336,mum,13
11766,flint,13
3912,applying,13
4106,insurer,13
4206,birth,13
7764,treated,13
10840,nhsc,13
1148,â€œi,13
4098,marketing,13
8063,aca,13
8480,wisconsin,13
161,rocket,13
3551,definitely,13
6402,childcare,13
4628,comprehensive,13
14771,corbyn,13
6844,doctor,13
4511,cd,13
8708,music,13
1260,box,13
4619,qe,13
246,length,13
2384,clothing,13
8036,unemployed,13
296,encouraged,13
2160,mary,13
3145,watson,13
3341,guidance,13
2162,seminar,13
2180,compounding,13
2407,13,13
8172,inventory,13
2156,network,13
789,secretary,13
674,extremely,13
3398,awareness,13
2206,fine,13
2359,draw,13
4789,initially,13
2673,failure,13
4056,experian,13
5984,difficulty,13
3368,platform,13
