,article_title,text,relevant_campbell,relevant_kristen,mismatch
29,"MENENDEZ WARNS OF IMPENDING EVICTION, FORECLOSURE CRISIS DUE TO COVID-19 PANDEMIC","MENENDEZ WARNS OF IMPENDING EVICTION, FORECLOSURE CRISIS DUE TO COVID-19 PANDEMIC WASHINGTON, DC, July 1 -- The office of Sen. Bob Menendez issued the following news release:  U.S. Senator Bob Menendez (D-N.J.), the ranking member of the Senate's housing subcommittee, today spoke on the Senate floor to warn his colleagues of a looming foreclosure and eviction crisis brought on by the COVID-19 pandemic and economic fallout if Congress fails to act.  ""[A]n impending storm ... is brewing and headed our way. It will bring with it enormous financial pain. It will threaten public safety. It will make fighting the pandemic that much harder. And it will set back our nation's economic recovery,"" said Sen. Menendez. ""If the Senate fails to respond to this looming crisis, Americans will needlessly suffer, families will be displaced, personal fortunes will be wiped out, and the scars will run so deep, it could take decades to heal the wounds.""  Sen. Menendez urged his colleagues to pass four separate pieces of legislation aimed at stabilizing the housing market and ensuring residents can remain safe and secure in their homes.  This week, he introduced the Coronavirus Housing Counseling Improvement Act (https://www.menendez.senate.gov/search?q=housing+counseling&access=p&as_dt=i&as_epq=&as_eq=&as_lq=&as_occt=any&as_oq=&as_q=&as_sitesearch=&client=wyden&sntsp=0&filter=0&getfields=&lr=&num=15&numgm=3&oe=UTF8&output=xml_no_dtd&partialfields=&proxycustom=&proxyreload=0&proxystylesheet=default_frontend&requiredfields=&sitesearch=&sort=date%3AD%3AS%3Ad1&start=0&ud=1) to expand access to critical information, assistance programs and services for millions of families struggling to remain in their homes because of the COVID-19 pandemic and economic fallout. According to research, homeowners who receive counseling have a better chance at avoiding default, protecting their credit scores, reducing debt and securing mortgage modifications.  Sen. Menendez announced that he will introduce a separate bill, the Emergency Housing Assistance for Older Adults Act, which would provide $1.2 billion for two key HUD housing assistance programs in order to ensure that federally-assisted senior housing facilities have the necessary resources to effectively protect residents during the COVID-19 pandemic.  The senator has cosponsored the Housing Assistance Fund (https://www.menendez.senate.gov/news-and-events/press/menendez-will-introduce-bill-to-create-new-75b-housing-assistance-fund-to-keep-nj-families-in-their-homes) to provide $75 billion in targeted assistance to keep people in their homes while they search for new employment or wait to get back to work by helping residents pay the mortgage, utilities, and support to prevent eviction, delinquency or foreclosure. He is also an original cosponsor of the Emergency Rental Assistance and Rental Market Stabilization Act, which would provide $100 billion to help families pay rent and help property owners maintain safe and healthy housing.  For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htlive.com",1,0,1
30,State Pension: Can I retire at 60 and claim State Pension?,"State Pension: Can I retire at 60 and claim State Pension? STATE PENSION age is rapidly increasing, but could you retire at 60 and still claim the money if you wanted to?  State Pension is part of the Government's pension arrangements and although anyone can make a claim, benefits vary. In the last decade, the pension scheme has massively changed, and the age of which one can retire has steadily increased.  Can you retire at 60 and still claim State Pension?How much State Pension you can receive vary depending on a number of factors such as age.  If you wish to retire early, or have other reasons to stop working, such as poor health or redundancy, your State Pension is likely to be affected.  Although you can retire at any age, you can only claim your State Pension when you reach State Pension age.  READ MORE: Workers see their health deteriorating as pension age rises  READ MORE  Before making the decision to stop working, you need to know all your pension options to make sure you'll have enough to live on in retirement.  For other pensions you need to check with the scheme provider when you can retire.  The amount you'll get depends on your National Insurance record and when you reach State Pension age.  You'll claim basic State Pension and Additional State Pension if you reached State Pension age before April 6, 2016.  You'll claim the new State Pension if you reach State Pension age on or after April 6, 2016.  Can you be forced to retire?In some cases an employer can force you to retire at a certain age.  This is known as compulsory retirement age.  However, if they do this they must give a good reason why.  DON'T MISS  State Pension: When can I claim my State Pension? [EXPLAINER]  State Pension age timetable: What age do you get State Pension? [INSIGHT]  Pensioner crisis: Britain's boom in elderly to spark social care chaos [ANALYSIS]  Related articles  READ MORE  One example can be if the job requires certain physical abilities.  Another reason can be if the job has an age limit set by law, such as the fire service.  You can claim your pension while you're working, as long as you've reached State Pension age, if you're claiming the State Pension.  If you have a workplace pension, reducing your working hours could affect how much you get, this should be checked with your employer.  How to check your State Pension ageYour State Pension age is worked out based on your gender and date of birth.  Under the current law, the State Pension age is due to increase to 68 between 2044 and 2046.  You can check your State Pension age using the Government's State Pension age tool here.  Related articles Pension: How self-employed people can plan for retirement Pension UK: Savings gap between men and women widens How much YOU should put into your pension pot revealed",1,1,0
31,Sunwing offers long-awaited deals with significant savings on vacations at RIU Hotels & Resorts,"Sunwing offers long-awaited deals with significant savings on vacations at RIU Hotels & Resorts TORONTO, June 25 -- Sunwing Vacations Inc issued the following news release:  Canadians who have been dreaming about a tropical getaway with white-sand beaches and sunny skies can get the deal they've been waiting for on a fall or winter vacation with Sunwing's See You at RIU Sale. For a limited time, the tour operator is offering deals with savings of up to 35% on vacation packages to RIU Hotels & Resorts and RIU Palace Resorts for departures in November and December 2020. Sun-seekers can enjoy more freedom and flexibility than ever before including the ability to change or cancel their plans with ease, flexible payment options and complimentary Price Drop Cash Back of up to $800 per couple.  Vacationers who book with Sunwing can enjoy peace of mind with the Safe with Sunwing commitment which ensures the health and safety of customers throughout their entire vacation journey, from the moment they check-in at the airport to their airport transfers, throughout their resort stay and their journey home. RIU Hotels & Resorts has also implemented new measures at all their properties including temperature checks for guests at check-in, reduced resort capacity to abide by social distancing guidelines and enhanced cleaning protocols.  Families won't have to worry about keeping the kids entertained at Riu Dunamar in Playa Mujeres. This top-rated family resort offers plenty of opportunities for fun in the sun, from unlimited access to the on-site 'Splash Water World' water park to an all-day entertainment program.  Canadians who are tired of being cooped up at home can trade in their living room for an oceanview pool at Riu Bambu. Nestled on the pristine shores of Arena Gorda Beach in Punta Cana, guests can grab a drink from the swim-up bar before soaking up the sun on a poolside lounger.  Riu Ocho Rios in Jamaica is another popular choice for sun-seekers in need of a well-deserved getaway. Vacationers can spend their days at the water park before indulging in a range of cuisine options at on-site restaurants, including the new beachside Jerk Chicken Station.  About Sunwing  The largest integrated travel company in North America, Sunwing has more flights to the south than any other leisure carrier with convenient direct service from over 33 airports across Canada to more than 45 popular sun destinations across the U.S.A., Caribbean, Mexico and Central America. This scale enables Sunwing to offer customers exclusive deals at top-rated resorts in the most popular vacation destinations as well as cruise packages and seasonal domestic flight service. Sunwing customers benefit from the assistance of the company's own knowledgeable destination representatives, who greet them upon arrival and support them throughout their vacation journey. The company supports the communities where it operates through the Sunwing Foundation, a charitable initiative focused on the support and development of youth and humanitarian aid.  Source: Sunwing Vacations Inc",0,0,0
32,What cinemas will look like after lockdown -with special areas for social bubbles,"Money What cinemas will look like after lockdown -with special areas for social bubbles One of the UK's biggest cinema chains said it plans to reopen in July as Britain's entertainment sector gets back on track following months of lockdown  Cineworld is preparing to reopen all branches in England on July 10 with a new digital bookings system that will involve visitors checking in before attending viewings in person.  The chain, which was forced to close all 128 outlets on March 18, said it will be back in business next month, with the Government's new safety gudielines in place.  New measures will include 'updated seating maps' to space viewers out while all customers will have to book and confirm via a virtual bookings system.  In a statement, the world's second largest cinema group explained: ""We are excited to announce that we are planning to reopen Cineworld Cinemas across England on 10th July 2020.  ""The opening date is subject to final clarifications and confirmation in regards to UK government restrictions, with dates to follow for our cinemas in Scotland, Wales and Ireland.""  It comes as the lockdown was eased on Monday, allowing non-essential shops to open in England.  Under latest guidelines, drive-in cinemas can now reopen -though the Government has warned that indoor cinemas should not open until July 4 at the earliest.  Cineworld, which has 787 outlets globally, said there will be social distancing when stores reopen, with hand washing stations located throughout branches.  Tickets will be booked in advance on the company website or app -and confirmation emails will be sent in advance of bookings.  New seating maps will also be in place to ""allow friends and family to sit together while ensuring a safe distance between customers from different households"".  But the measures will vary based on the capacity and layout of each screen.  Film start and end times will be staggered to reduce customer interaction, while plastic screens will be placed at the till and PPE will be provided to employees, the company added.  Chief executive Mooky Greidinger said: ""We are thrilled to be back and encouraged by recent surveys that show that many people have missed going to the movie theatre.  ""With a strong slate confirmed for the coming weeks, including among others Tenet, Mulan, A Quiet Place Part II, Wonder Women 1984, Black Widow, Bond, Soul, Top Gun Maverick and many more, the entire Cineworld team remains committed to being ""the best place to watch a movie"".""  The company was unable to comment on how the lockdown will affect those on its £238 a year unlimited membership plan.  Major chains, including Odeon, Cineworld and Picturehouse, as well as BFI Southbank, the screening complex operated by the British Film Institute, announced they were closing their doors with immediate effect in March as the lockdown came into effect,  Vue, another of the UK's biggest cinema chains, has said it will reopen on July 4 if given the green light from ministers.",0,0,0
33,Anthropologie sale items are at a huge discount for Memorial Day—but not for long,"Tech Anthropologie sale items are at a huge discount for Memorial Day-but not for long - Recommendations are independently chosen by Reviewed's editors. Purchases you make through our links may earn us a commission.  Ah, sweet, sweet Anthropologie. Known for its fashion-forward clothing, furniture and accessories, the boho-chic retailer is no stranger to impressive sales, frequently offering markdowns on even already-discounted goodies. Memorial Day weekend brings some of its most impressive savings yet, however, with an extra 50% off nearly everything in the site's sale section.  Need help finding products? Sign up for our weekly newsletter. It's free and you can unsubscribe at any time.  You can grab this Gable Tiered Tunic, for instance, once $118 and marked down to $79.95, for $39.98 with the extra 50% off discount, giving you a little more than $78 in savings. Its super-summery pastel shades provide a fun pop of color, and 4.7-star reviews note that it fits beautifully.  Dressier, work-ready pieces are also included in this promotion, like this Hildi Pleated Midi Skirt in black and white. Originally $118, Anthro has already slashed the price of this piece down to $69.95, and, when you add it to your cart, you can snag it for only $34.98. That's a savings of $83.02! The geometric pattern of this skirt is super unique and it features a flattering pleated detail. Meanwhile, its midi length is right on-trend. This skirt has garnered 4.8-star reviews from plenty of customers who commented on its slimming fit, with others noting that it's also comfortable enough to lounge around in at home.  Also on sale is this modern Tabitha Foldover Clutch, which is available in an ashy gray leather. Normally retailing for $68, it's on sale for $49.95, and thanks to this holiday sale, you can nab it for $24.97 in your cart. The ring handle is effortlessly cool, while the crossbody strap allows you to rock it as a clutch or an everyday purse. Crafted from high-quality leather, it contains one outer snap pocket, three interior slip compartments and zip and magnetic closures. One happy shopper was thrilled with this purchase, writing that it's a versatile piece that's easy to dress up or down.  This sale-on-sale promotion even extends to furniture, where you can snag rugs, candles, dressers and more for an additional 25% off when you add them to your cart, so if you're looking to remodel your pad, now's the time.  Shop Anthropologie's Memorial Day sale  The product experts at Reviewed have all your shopping needs covered. Follow Reviewed on Facebook, Twitter, and Instagram for the latest deals, reviews, and more.  Prices were accurate at the time this article was published but may change over time.  This article originally appeared on Reviewed.com: Anthropologie sale items are at a huge discount for Memorial Day-but not for long",0,0,0
34,Realtors demand looser mortgage rules; Also call on federal candidates to boost first-time buyers credit,"Business Realtors demand looser mortgage rules; Also call on federal candidates to boost first-time buyers credit Real estate boards across the country are calling on federal candidates in next month's election to support loosening mortgage stress tests, saying that will make it easier for Canadians to buy homes.  ""The federal government should view the stress test as a flexible policy and adjust it based on changing economic trends and interest rates,"" the Toronto Real Estate Board wrote in a statement released Thursday morning.  Introduced in 2018, the mortgage stress test requires potential buyers - even those with a down payment of 20 per cent or more - to demonstrate that they can afford a mortgage (or home equity line of credit) at a rate two percentage points above the rate being offered or at the Bank of Canada's five-year benchmark rate, whichever is higher.  The stricter mortgage rules were introduced by the Office of the Superintendent of Financial Institutions to shore up the underwriting of banks as Canadian household debt hit record levels. The stress test also helped to cool overheated housing markets in Toronto and Vancouver.  Real estate boards representing realtors from Toronto, Calgary, Vancouver and Edmonton, as well as real estate associations in Quebec and Nova Scotia, have all signed on to Thursday's statement.  The coalition of about 92,000 realtors is also calling on parties to reinstate 30-year mortgages and replace the $750 first-time home buyers tax credit with a $2,500 non-refundable one instead.  They argue the current guideline enforces a ""one-size-fits-all solution"" that's to the detriment of many.  ""Quebec's home ownership rate continues to lag, according to the 2016 census, as it stands at 61 per cent in Quebec compared to more than 70 per cent in Canada's other provinces,"" Julie Saucier, the president of Quebec Professional Association of Real Estate Brokers, said in the statement.  ""We believe that there needs to be better support offered to buyers of residential properties, particularly first-time buyers.""  In April, CIBC World Markets deputy chief economist Benjamin Tal released a report showing at least half of the $25-billion decline in new mortgages since 2018 was due to the introduction of the stress test.  The Canada Mortgage and Housing Corp. has maintained in the past that mortgage stress tests are needed to prevent property price inflation. ""My job is to advise you against this reckless myopia and protect our economy from potentially tragic consequences,"" CMHC president and CEO Evan Siddall wrote in May in a letter to the Standing Committee on Finance.  Siddall said banks have supported the loosening of the regulation only because they're backed by a guarantee from the federal government.  ""I doubt they'd be as cavalier if it were their risk,"" he told the Star in late May. ""Critics of the stress test ignore the fact that high house prices are the overwhelming reason why home ownership is out of reach.""",1,1,0
35,Sharia bank Al Rayan launches a 1.6% easy access account less than a week after Marcus disappointed savers,"Saving & banking Sharia bank Al Rayan launches a 1.6% easy access account less than a week after Marcus disappointed savers * Last week Marcus cut its rate to 1.45% ending its year-long reign at the top  * Following that easy access rates fell across the board  * However Al Rayan Bank has now launched a new top easy access rate  There's a new, and unusual, name at the top of the easy access savings tables.  Just one week on from Marcus Bank cutting its market-leading 1.5 per cent rate to 1.45 per cent and other providers following suit, leading to a gloomy outlook facing easy access savers, one bank has launched a rate higher than Marcus's in its prime.  Sharia bank Al Rayan has entered the easy access savings market for the first time, launching an account that pays 1.6 per cent, considerably higher than the next best offers from Cynergy Bank and Marcus.  The account can be opened online, by phone, or in the bank's branches in Birmingham, Bradford, Glasgow, Leicester, London, Luton or Manchester.  It is worth noting that Al Rayan is a Sharia-compliant bank, which means it cannot pay a guaranteed interest rate.  Instead it pays an expected profit rate, which can change the same way a variable interest rate on an easy access account can.  While this is the bank's first foray into the easy access market, it has offered an easy access cash Isa paying 1.35 per cent since April last year.  That rate nestles among the higher-paying easy access Isas in This is Money's tables, but is hardly a best buy and did not suggest the bank would be launching a rate which blew other providers out of the water.  However, in the fixed-rate market Al Rayan and fellow Sharia bank Gatehouse have consistently offered among the best rates. Right now Al Rayan offers the best rate in our tables on one, two and three year fixed-rate deposits, paying 2.07 per cent, 2.32 per cent and 2.42 per cent, respectively.  Given how Marcus helped drag up the rates offered by easy access accounts when it launched a year ago offering 1.5 per cent, there is a possibility Al Rayan has a similar effect if this account sticks around.  Anna Bowes, co-founder of website Savings Champion, said: 'It's an interesting move from a lesser known provider which has offered competitive rates on its fixed term bonds for quite some time now.  'But this is a competitive move into a new part of the market for Al Rayan. It's an excellent rate, especially under the current conditions and will be interesting to see if it causes other providers to up their game.'  Al Rayan allows account holders to deposit up to £1million into its easy access account, but only deposits up to £85,000 will be covered by the Financial Services Compensation Scheme.",0,0,0
36,Schiff Hardin Expands Estate Planning Practice With Ex-UBS Wealth Strategist,"In Brief Schiff Hardin Expands Estate Planning Practice With Ex-UBS Wealth Strategist Schiff Hardin is growing its estate planning practice, adding three attorneys in New York and Chicago, including Stephen Liss, a former UBS strategist who advised high-net-worth families.  Liss joined Schiff Hardin's New York office as a partner in its private clients, trust and estates practice group. The firm also announced Wednesday that Lisa Lukaszewski joined the firm's practice as counsel from Neal, Gerber & Eisenberg while Anna Luna joined as an associate from Ernst & Young. Both will be based in Chicago.  The trio's move comes as Schiff Hardin's revenue has dipped in recent years, according to ALM data. The firm said earlier this year that it was leaning into its trusts and estates practice, as well as other practices that other firms are overlooking.  Liss previously worked as a senior wealth strategist at UBS Financial Services and Barclays. Before that, he was a partner at Withers Bergman.  Schiff Hardin said that during his time in financial services, Liss helped domestic and international high-net-worth clients on income and estate tax planning matters, planned charitable giving and sophisticated life insurance structures.  Liss said that experience will help him as he transitions back into private practice and that he plans to use relationships he's cultivated through his years in financial services to grow his practice.  ""It will be nice to be able to see a project from inception to completion,"" he said in an interview, explaining that while at UBS and Barclays, he was a subjectmatter expert who taught clients about what options were available to them, but did not work with them from start to finish. Now, he hopes to bring his two expertise areas of law and financial planning together at Schiff Hardin.  ""I'm excited to use my experience to integrate legal and financial planning and explore how a financial planner can help a client,"" he said.  His decision to join Schiff Hardin was also influenced by relationships he already had with attorneys there.  ""I had worked with their lawyers before, and I had a really good sense of who did quality work based on what they actually produced, compared to who [in the legal industry] just talked about doing good work,"" he said, noting that a number of Schiff Hardin partners were certified by the American College of Trust and Estate Counsel.  ""This has been an important department for [the firm] for a long time,"" he said about Schiff Hardin's private clients, trust and estates practice group. ""They have a really supportive culture. They're just good, decent people, and I knew that coming in.""  In a statement, Thomas Abendroth, leader of the firm's private clients, trusts and estates practice, complimented Liss' combined experience in private practice and working directly with clients and advisers while at UBS. He said Liss has a ""strong background with counseling private clients and handling complex tax work from his years in private practice.""",0,0,0
37,Waters Opening Statement at Hearing on Student Loan Debt Crisis; House Financial Services Committee News Release,"Waters Opening Statement at Hearing on Student Loan Debt Crisis; House Financial Services Committee News Release Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, gave the following opening statement at a full Committee hearing entitled, ""A $1.5 Trillion Crisis: Protecting Student Borrowers and Holding Student Loan Servicers Accountable.""  As Prepared for Delivery  Good morning. Today this Committee convenes for a hearing to examine the student loan debt crisis. It appears that this may in fact be the first ever full Committee hearing in this Committee's history focused on student lending and the many financial ramifications it has for student borrowers. Given the scale of the crisis at hand, it is long overdue. I thank Congressman Al Green, Chairman of our Subcommittee on Oversight and Investigations, for convening a Subcommittee hearing on this subject earlier this year, and look forward to building on the insights from that hearing during our conversation today.  According to the Federal Reserve, Americans collectively have over $1.6 trillion in student loan debt. That's more than credit card debt, and more than car loan debt, trailing only mortgage debt. More than 44 million people carry student debt averaging almost $33,000. Around 9 million borrowers with federal student loans are currently in default. The burden of student loan debt is preventing young people from saving for retirement, starting small businesses, starting families, and becoming homeowners. This crisis is affecting people across the country, and ultimately it negatively affects our entire economy.  Nevertheless, Trump's Education Secretary, Betsy DeVos, has consistently taken actions that are harmful for those with student loans, and the Trump Administration's appointees to the Consumer Financial Protection Bureau have also undermined key protections. Just last month, the Trump Administration appointed as Student Loan Ombudsman a former executive of a major student loan servicer that is being investigated by several state attorneys general for illegal student loan servicing practices.  I am pleased that we are joined by an outstanding panel of witnesses today, including witnesses who have personally dealt with student loans, have used their positions to raise awareness about the student debt crisis, or who have fought on behalf of consumers against the harmful practices of student loan servicers.  The Education and Labor Committee has an important role to play in this matter, but this Committee does as well, given the need to strengthen protections for student loan borrowers and conduct oversight in the area of student loan servicing. Today we will discuss a series of bills that are designed to help student loan borrowers in a variety of ways. These bills include creating a comprehensive student borrower bill of rights, strengthening credit reporting standards, stopping private debt collectors from going after vulnerable student borrowers, protecting private student loan borrowers, and helping borrowers with student debt purchase their first home. Congress - and this Committee - have a responsibility to take action to ensure student loan borrowers are better protected.  Read this original document at: https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=404289",1,1,0
38,"New ""Retire4Real"" Online Game Will Help Teens Understand the Importance of Investing for Retirement","New ""Retire4Real"" Online Game Will Help Teens Understand the Importance of Investing for Retirement Junior Achievement and leaders in retirement services industry develop online game to help Gen Z be better prepared to achieve a secure retirement     COLORADO SPRINGS, Colo., Sept. 5, 2019 /PRNewswire/ -- Junior Achievement USA (JA) and leading organizations in the retirement services industry have developed a new online game, called Retire4Real, to help teens understand the importance of investing early for retirement.  According to Secure Retirement Institute research, just 16% of American workers believe they are saving enough for retirement. Compounding this is the fact that many workers are not saving for retirement at all: 30% of millennial workers and 21% of Generation X workers have not begun to save for retirement. Retire4Real is designed to show teens the benefits of investing for retirement and to encourage them to begin as soon as they have their first job out of school.  The project is an initiative of the LIMRA LOMA Secure Retirement Institute (SRI) was made possible with the support of the following organizations:      -- Allianz Life Insurance Company  -- Pacific Life  -- JP Morgan                       -- Raymond James  -- Lincoln Financial Group         -- Sammons Annuity Group  -- Nationwide                      -- Voya     ""Most young adults could begin putting money away for retirement in a 401(k) or Roth IRA when they get their first job, but the reality is many don't,"" said Jack E. Kosakowski, president and CEO of Junior Achievement USA. ""While there are several factors behind this, a basic lack of understanding when it comes to retirement planning is certainly one of them. We appreciate the support of the retirement services industry in helping JA get this critical information to today's teens.""  About Junior Achievement USA(R) (JA)  Celebrating its centennial in 2019, Junior Achievement is the world's largest organization dedicated to giving young people the knowledge and skills they need to own their economic success, plan for their future, and make smart academic and economic choices. JA programs are delivered by corporate and community volunteers, and provide relevant, hands-on experiences that give students from kindergarten through high school knowledge and skills in financial literacy, work readiness and entrepreneurship. Today, JA reaches more than 4.8 million students per year in 106 markets across the United States, with an additional 5.2 million students served by operations in 100 other countries worldwide. Junior Achievement USA is a member of JA Worldwide. Visit www.ja.org for more information.  About LIMRA LOMA Secure Retirement Institute  The LIMRA LOMA Secure Retirement Institute provides comprehensive, unbiased research and education about all aspects within the retirement industry to improve retirement readiness and promote retirement security. For information on the LIMRA LOMA Secure Retirement Institute, visit: www.limra.com/sri.  View original content:http://www.prnewswire.com/news-releases/new-retire4real-online-game-will-help-teens-understand-the-importance-of-investing-for-retirement-300912398.html  SOURCE Junior Achievement USA  /CONTACT: Ed Grocholski, Junior Achievement USA, (719) 540-6165, ed.grocholski@ja.org  /Web site: http://www.JA.org  (END)",1,1,0
39,Landlords charge 'pet rent' to recoup losses after ban on unfair fees,"Money Landlords charge 'pet rent' to recoup losses after ban on unfair fees Practice has emerged since new law designed to save renters in England money  Landlords are charging ""pet rent"" running into hundreds of pounds a year in an attempt to recoup losses from a ban on unfair letting fees enforced by the government this summer.  The new practice means tenants with animals are being charged up to £50 a month additional rent for a single pet, adding considerably to the cost of housing at a time when more and more families are priced out of buying and rely on rented homes.  One landlord in Bicester in Oxfordshire is asking £40 per pet in monthly rent in a two-bedroom home that already costs £995 a month for the human occupants. It means a family with a dog and two cats would face a yearly animal rent of over £1,400. Another in Cheltenham is asking £50 a month for ""four-legged friends"" with exemptions for fish or hamsters. Several landlords are seeking pet rent only for ""clawed"" pets.  ""In certain letting agencies it seems to be a standard term in agreements,"" said Darren Baxter, a renter currently searching for a new home in York with his partner, two children and cocker spaniel Padfoot. ""It seems exorbitant given the potential damage a pet can cause. We went to one place where they wanted a reference for the dog. That was ridiculous.""  He said it was another example of how people who cannot afford to buy are disadvantaged in terms of being able to enjoy some of the basics of family life.  One letting agent said the new practice had only emerged since June, when landlords were banned from charging cleaning fees at the end of a tenancy or demanding an additional pet deposit as a result of total deposits being capped at five weeks' rent.  Before the Tenant Fees Act 2019, which was supposed to save renters across England £240m a year, landlords often asked for pet deposits of around £150, repayable at the end of the tenancy. Pet rents now mean they have no choice but to pay more.  ""The only way to do it is to charge higher rent,"" said Karolina Misiukiewicz, administrator at Elliot Oliver, an estate agent in Cheltenham. ""It's a new thing for us. In our experience we haven't taken extra for hamsters or gerbils and definitely not fish.""  Dozens of adverts for homes demanding pet rent can be seen on the rental websites Rightmove and Zoopla, along with many more refusing to take pets.  Half of UK adults own a pet, with 11 million owning cats and almost 9 million owning dogs, according to the veterinary charity PDSA. At the same time more and more families are having to rent. A quarter of families in England rent privately, reaching nearly 1.6m last year, more than double the number recorded in the government's English Housing Survey a decade earlier.",1,1,0
40,"Advice fees vary by 1,000 per cent","News Advice fees vary by 1,000 per cent New research highlights significant divergence in fee structures  Adviser fees for retirement advice can vary by up to 1,000 per cent, new research has found, at the same time as an expert revealed other charging models are starting to gain traction.  A survey conducted by consumer champion Which? asked 108 advisers how much they would charge for advice in three different scenarios, and the results revealed a vast degree of disparity.  In the first scenario, advisers were asked to quote costs for someone approaching retirement, and aiming to start drawing an income, with £100,000 in savings, £150,000 in a pension, and £100,000 in an investment Isa.  The maximum quote from intermediaries was £5,000, 10 times more expensive than the lowest (£500).  Other examples revealed a similar trend. Scenario three described a client with no mortgage and ""comfortable"" savings, with a £100,000 inheritance to invest. Results again were wide-ranging, with the maximum fee at £3,000, the minimum once again at £500, and the average £1,980.  Scenario two took a difference stance, as the individual expressed a need to start saving for a child's education, instead of looking for advice on lump sums. But a vast disparity in fees was still evident. The cheapest, at £300, was still £2,200 lower than the most expensive.  Advice costs have come under increasing pressure in recent weeks, with the Financial Conduct Authority stepping in after finding that some models present a risk to consumers in certain areas of advice.  The regulator's recent proposal to ban contingent charging for defined benefit to defined contribution transfers is a case in point.  Anecdotally at least, changes are occurring in the way intermediaries charge for advice. In an article responding to the FCA's proposed contingent charging ban, Abbie Knight, founder of Discus, said that over recent years there had been a notable increase in advisers moving towards a ""menu-forservice"" model.  This involves time-costing each piece of work and applying an appropriate profit margin. The fee can then be adjusted for cases that require additional resource due to time or complexity.  Ms Knight said: ""This menubased charging approach is built on the premise that the process and steps involved in delivering each service remains the same, irrespective of the size of the investment.  ""The menu model ensures clients only pay for the service they receive - a stark contrast to the traditional percentagebased charging model."" A further issue of relevance to advisory fees has been the number of consumers feeling priced out of advice, resulting in the much-publicised advice gap. The FCA is revisiting this area via its analysis of the Retail Distribution Review and the Financial Advice Market Review, but its assessments are not due to be published until next summer. craig.rickman@ft.com  'The menu model ensures clients only pay for the service they receive - a stark contrast to the traditional percentagebased charging model'",1,0,1
41,Super Saturday set to see £1.65billion blown on the high street before Christmas,"Money Super Saturday set to see £1.65billion blown on the high street before Christmas 10.1 million shoppers will descend on the high street to spend £1.38 billion on gifts and festive food and drink  Shoppers are expected to spend £1.65 billion on Super Saturday this weekend as they hit the high street in preparation for Christmas Day.  Some 10.1 million shoppers will visit the beleaguered high street to spend £1.38 billion on gifts and festive food and drink, while 4.8 million will spend £268 million online in the hope that their purchases can be delivered on time, according to predictions by VoucherCodes.co.uk and the Centre for Retail Research.  The anticipated rush should provide a fillip after a disappointing weekend for retailers with gales, snow and freezing rain brought by Storm Deirdre blamed for lower shopper numbers.  Combined footfall for high streets, retail parks and shopping centres was down 4.3% on the same weekend last year, according to retail intelligence experts Springboard.  Online sales are expected to peak the day before on 'Frenzied Friday' as 7.2 million shoppers spend £321 million on last-minute gifts.  Laura Ashley 40 new store closures update - what we know about the shops closing  Footfall is expected to be up 20% on the daily average on Super Saturday, while Sunday and Christmas Eve are anticipated to both be up by 5%, according to retail analysts ShopperTrak.  ShopperTrak UK director Steve Richardson said: ""As the last working day for many before Christmas, Frenzied Friday marks the start of the last-minute festive footfall rush, with footfall set to rise across the weekend.  ""Friday is also significant in that it marks the moment that shoppers move away from buying online and instead head into stores to finish off Christmas shopping.  ""In spite of retailers offering later and later fulfilment options, shoppers will head on to the high street, fuelled by the fear that online gifts may not arrive in time for the big day, as well as taking advantage of click-and-collect orders, which some retailers are promising to fulfil on Christmas Eve itself.""  Gift cards could be the worst present possible - your rights if things go wrong  The UK high street has been hit hard this year as several large companies entered administration including House of Fraser and Evans Cycles, which were both bought by Sports Direct tycoon Mike Ashley.  Names such as Toys R Us UK, Poundworld and electronic retailer Maplin also fell into administration, while fashion chain New Look, Marks & Spencer and Debenhams all announced store closures.  Jimmy New, director of marketing at VoucherCodes, said: ""Super Saturday will be a big shopping day for both retailers and consumers alike as millions flock to stores looking to snap up last-minute gifts and other essentials before Christmas Day.  ""It'll certainly be one of the busiest shopping days on the high street so, if you do brave the shops, expect crowds.""  Christmas food and drink",1,1,0
